Index,Id,Status,Sex,Age,Deme,fgene0,fgene1,fgene2,mgene0,mgene1,mgene2,phen0,phen1,phen2
105,2264,1,1,3,0,-0.0867219,-0.0236419,0.0181428,-0.049584,-0.0236419,0.0873613,10,0.5,0.516608
106,2292,1,0,3,0,0.0935869,-0.0475079,-0.00417058,-0.0597838,-0.157627,-0.061082,10,0.5,0.329886
107,2309,1,0,3,0,-0.0188363,0.134875,-0.211662,-0.173099,0.0381239,0.140366,10,0.5,0.323277
108,2315,1,1,3,0,-0.121037,-0.0625026,-0.0174531,0.161501,0.0919992,0.0549423,10,0.5,0.442234
109,2326,1,0,3,0,0.0053598,0.200106,0.124066,-0.0849979,-0.0239877,0.0525144,10,0.5,0.59433
110,2330,1,0,3,0,0.00672262,-0.0621384,0.177815,-0.049584,-0.0957347,0.119855,10,0.5,0.726741
111,2335,1,1,3,0,0.0935869,-0.029499,0.0976818,0.0453465,0.0790801,0.00523417,10,0.5,0.513778
112,2344,1,0,3,0,0.0419184,-0.10373,-0.0463515,-0.0309985,-0.0957347,0.119855,10,0.5,0.481615
113,2354,1,1,3,0,-0.022657,0.0877409,0.0143608,0.0935869,-0.029499,0.105968,10,0.5,0.532819
114,2362,1,0,3,0,0.116464,0.0424388,-0.0400209,-0.0494704,0.0771156,0.0213059,10,0.5,0.380775
115,2366,1,1,3,0,0.0820233,0.0252698,0.127114,0.0398369,-0.0298185,0.16514,10,0.5,0.72082
116,2378,1,1,3,0,-0.0849979,0.0252698,0.0628915,0.0820233,-0.0986366,0.140366,10,0.5,0.623502
117,2383,1,0,3,0,0.0979729,-0.0625026,-0.141123,0.116464,-0.0621384,0.179763,10,0.5,0.443493
118,2389,1,1,3,0,-0.0350953,0.0180794,0.0143608,-0.0529153,-0.0815379,-0.0424282,10,0.5,0.370548
119,2396,1,0,3,0,0.0453465,0.0872899,-0.141672,0.0754317,-0.059808,0.140366,10,0.5,0.399812
120,2411,1,1,3,0,0.0280758,-0.00225835,-0.0626328,-0.0992825,0.00551634,-0.00955751,10,0.5,0.3223
121,2420,1,0,3,0,0.131288,-0.0829439,0.0835065,-0.181677,-0.172633,0.160775,10,0.5,0.668361
122,2424,1,1,3,0,-0.022657,-0.258217,0.0540249,-0.140292,0.200106,0.105968,10,0.5,0.576192
123,2427,1,1,3,0,0.0280758,0.0754563,0.0627503,-0.121037,-0.0985847,-0.0174531,10,0.5,0.450772
124,2436,1,0,3,0,-0.0304611,-0.196379,0.0409958,0.0996125,0.00935752,0.0359381,10,0.5,0.485367
125,2439,1,1,3,0,0.0847362,0.0180794,0.177815,0.00672262,-0.0891997,-0.0940392,10,0.5,0.492848
126,2440,1,1,3,0,-0.0597838,-0.0634343,0.177815,-0.000311832,-0.0391732,0.0525144,10,0.5,0.653105
127,2444,1,1,3,0,0.0847362,0.0370861,0.122126,-0.0507314,0.141173,-0.00561113,10,0.5,0.528649
128,2451,1,1,3,0,-0.229807,-0.0705341,0.16514,0.0996125,0.200106,0.0105063,10,0.5,0.593309
129,2456,1,1,3,0,-0.121037,-0.0985847,-0.114609,0.0918836,0.00935752,-0.185606,10,0.5,0.0729544
130,2467,1,1,3,0,-0.140085,0.0735077,-0.0538557,0.0574139,-0.172633,-0.17565,10,0.5,0.150275
131,2471,1,0,3,0,-0.181677,-0.12078,-0.0523462,0.0979729,-0.12078,0.105968,10,0.5,0.459875
132,2473,1,0,3,0,-0.0309985,-0.0634343,-0.0538557,-0.0309985,-0.0314561,0.119855,10,0.5,0.47341
133,2477,1,1,3,0,-0.0507314,0.0735077,0.0119665,-0.0309985,0.0352776,-0.071654,10,0.5,0.335971
134,2479,1,1,3,0,-0.0597838,-0.033265,0.0119665,0.0701613,0.134875,0.030388,10,0.5,0.447554
135,2498,1,1,3,0,-0.0679983,0.140383,-0.030454,0.116464,0.0352776,0.179763,10,0.5,0.564509
136,2506,1,0,3,0,-0.0597838,-0.0610469,-0.073531,0.0397055,-0.0634339,0.171727,10,0.5,0.508617
137,2510,1,0,3,0,-0.121037,-0.258217,0.171727,-0.13827,-0.103491,0.177815,10,0.5,0.783464
138,2518,1,0,3,0,-0.000311832,-0.0470417,-0.0400209,-0.0529153,-0.0957347,-0.0538557,10,0.5,0.298586
139,2528,1,0,3,0,0.0693332,0.140383,0.204806,-0.174552,-0.394149,-0.0940392,10,0.5,0.522363
140,2529,1,0,3,0,-0.140292,0.0546663,0.192671,-0.174552,-0.0475079,-0.129777,10,0.5,0.470014
141,2538,1,0,3,0,0.000155982,-0.0104522,-0.0626328,0.0816999,-0.0340899,0.171727,10,0.5,0.520535
142,2540,1,0,3,0,0.0442896,0.200106,0.0105063,0.00672262,-0.0475079,-0.198843,10,0.5,0.195293
143,2542,1,0,3,0,-0.0309985,-0.0815379,-0.0538557,0.116464,-0.0621384,0.179763,10,0.5,0.538919
144,2548,1,1,3,0,-0.0494704,0.00115449,-0.071654,-0.140292,0.200106,0.0105063,10,0.5,0.334375
145,2552,1,1,3,0,-0.151191,0.0546663,0.127114,0.0693332,0.134875,-0.00196361,10,0.5,0.538092
146,2553,1,1,3,0,0.136108,0.0919992,-0.199015,0.0979729,-0.0956569,-0.0931748,10,0.5,0.0817307
147,2560,1,0,3,0,-0.100691,-0.0314561,0.14728,0.00672262,-0.172633,-0.00792649,10,0.5,0.553622
148,2575,1,1,3,0,-0.0679983,0.140383,-0.030454,-0.022657,-0.258217,0.00460105,10,0.5,0.372969
